GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201603140050,2016-03-14,"Iraq","Zankoura","Islamic State of Iraq and the Levant (ISIL)",0,,,,,9,14,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603140018,2016-03-14,"Iraq","Albu Asi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,3,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,
201603140017,2016-03-14,"Iraq","Hasai","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,2,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,
201603120006,2016-03-12,"Iraq","Rutbah district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,10,5,Police,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
201603060002,2016-03-06,"Iraq","Hillah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,62,95,Military,Police,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603010009,2016-03-01,"Iraq","Tikrit district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,18,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201603010008,2016-03-01,"Iraq","Samarra district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,1,5,Military,Police,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602290026,2016-02-29,"Iraq","Muqdadiyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,31,58,Private Citizens & Property,Terrorists/Non-state Militia,Terrorists/Non-state Militia,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602290024,2016-02-29,"Iraq","Haqlaniyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,0,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602290023,2016-02-29,"Iraq","Haqlaniyah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,1,0,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602290011,2016-02-29,"Iraq","Subayhat","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,10,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602280025,2016-02-28,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,37,56,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602280018,2016-02-28,"Iraq","Karma","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,0,Business,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
201602280004,2016-02-28,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,38,56,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602270014,2016-02-27,"Syria","Teeba","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,Unknown,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602250020,2016-02-25,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,11,34,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602250019,2016-02-25,"Iraq","Baghdad","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,14,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602220044,2016-02-22,"Syria","Khanasser","Islamic State of Iraq and the Levant (ISIL)",0,,,,,Unknown,Unknown,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
201602210060,2016-02-21,"Syria","Sayyidah Zaynab","Islamic State of Iraq and the Levant (ISIL)",0,,,,,42,89,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602210030,2016-02-21,"Iraq","Ramadi district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,0,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602210013,2016-02-21,"Syria","Al-Shadadi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,1,0,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602210003,2016-02-21,"Syria","Zarah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,17,50,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602210002,2016-02-21,"Syria","Homs","Islamic State of Iraq and the Levant (ISIL)",0,,,,,18,51,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602210001,2016-02-21,"Syria","Sayyidah Zaynab","Islamic State of Iraq and the Levant (ISIL)",0,,,,,43,89,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
201602200023,2016-02-20,"Iraq","Amiriyat al-Fallujah","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602180029,2016-02-18,"Iraq","Hadithah district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,0,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602170001,2016-02-17,"Turkey","Ankara","Kurdistan Freedom Hawks (TAK)",0,"Kurdistan Workers' Party (PKK)",0,"Islamic State of Iraq and the Levant (ISIL)",0,30,60,Military,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
