Id,Label,timeset,modularity_class,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Turkiiii_____,Turkiiii_____,,26,1,0,1,0.083867,0,0,0,0
Avashin,Avashin,,24,1,0,1,0.003412,0,0,0,0
IoreIisIade,IoreIisIade,,23,1,0,1,0.166677,0,0,0,0
Al_Jazairy,Al_Jazairy,,26,1,0,1,0.083867,0,0,0,0
Somaliyyah,Somaliyyah,,15,2,0,2,0.004529,0,0,0,0
AbuBlock,AbuBlock,,21,4,0,4,0.199164,0,0,0,0
AbuNaseeha_2,AbuNaseeha_2,,11,1,0,1,0.012813,0,0,0,0
Yvan256,Yvan256,,26,1,0,1,0.083867,0,0,0,0
katebt3000,katebt3000,,26,1,0,1,0.083867,0,0,0,0
RTarabic,RTarabic,,13,1,0,1,0.001721,0,0,0,0
free_sham88,free_sham88,,23,1,0,1,0.166677,0,0,0,0
domes_minarets,domes_minarets,,26,1,0,1,0.083867,0,0,0,0
StateOfUkraine,StateOfUkraine,,11,1,0,1,0.012813,0,0,0,0
Official_SEA16,Official_SEA16,,23,1,0,1,0.166677,0,0,0,0
saifulakhir,saifulakhir,,2,1,11,12,0.001721,9,0.187208,0.208493,0.000001
HaraldDoornbos,HaraldDoornbos,,25,2,0,2,0.046278,0,0,0,0
nytimesworld,nytimesworld,,6,3,0,3,0.121193,0,0,0,0
matthewfsmith,matthewfsmith,,13,1,0,1,0.06556,0,0,0,0
QassamiMarwan__,QassamiMarwan__,,21,1,0,1,0.070325,0,0,0,0
IS_Khurasan8,IS_Khurasan8,,6,1,0,1,0.033913,0,0,0,0
eddie1971nyc,eddie1971nyc,,3,3,0,3,0.119501,0,0,0,0
ImranIbnFareed4,ImranIbnFareed4,,8,1,0,1,0.001721,0,0,0,0
TelegraphNews,TelegraphNews,,6,1,0,1,0.033913,0,0,0,0
Strawberriiiiiy,Strawberriiiiiy,,27,1,0,1,0.004834,0,0,0,0
don85375,don85375,,11,1,0,1,0.012813,0,0,0,0
Jazrawi_Saraqib,Jazrawi_Saraqib,,14,8,33,41,0.157644,7,0.276484,0.326209,0.000231
sinjar_khanasor,sinjar_khanasor,,21,1,0,1,0.070325,0,0,0,0
n0passaran,n0passaran,,26,1,0,1,0.083867,0,0,0,0
parlayanoguz,parlayanoguz,,9,1,0,1,0.002808,0,0,0,0
mmoazh1,mmoazh1,,27,1,0,1,0.004834,0,0,0,0
yawmal_dabiq,yawmal_dabiq,,8,3,0,3,0.114042,0,0,0,0
bintraveller,bintraveller,,25,1,3,4,0.002808,1,1,1,0
business,business,,6,4,0,4,0.128243,0,0,0,0
Abu_Amaraah28,Abu_Amaraah28,,13,1,0,1,0.041773,0,0,0,0
plustocks,plustocks,,11,1,0,1,0.012813,0,0,0,0
bqstu330,bqstu330,,13,1,0,1,0.037914,0,0,0,0
mawilner,mawilner,,26,1,0,1,0.083867,0,0,0,0
amatu_rahmaan,amatu_rahmaan,,25,1,0,1,0.002808,0,0,0,0
HudsonLandrock,HudsonLandrock,,8,1,0,1,0.001721,0,0,0,0
arbetarsolen,arbetarsolen,,23,1,0,1,0.166677,0,0,0,0
Rita_Katz,Rita_Katz,,22,4,0,4,0.32155,0,0,0,0
MTerzi1980,MTerzi1980,,23,1,0,1,0.166677,0,0,0,0
AbuMohamed_01,AbuMohamed_01,,14,3,0,3,0.044245,0,0,0,0
abukhattab1quds,abukhattab1quds,,22,1,0,1,0.004981,0,0,0,0
DanjenAku,DanjenAku,,6,1,0,1,0.033913,0,0,0,0
MarkRuffalo,MarkRuffalo,,21,2,0,2,0.237002,0,0,0,0
Pashtunist,Pashtunist,,10,2,0,2,0.005133,0,0,0,0
BAQIYA_FAMILYq,BAQIYA_FAMILYq,,20,1,0,1,0.003153,0,0,0,0
Gibraan8,Gibraan8,,13,1,0,1,0.046761,0,0,0,0
AbouAndalouss,AbouAndalouss,,26,1,0,1,0.083867,0,0,0,0
ILYAAS_XVII,ILYAAS_XVII,,26,1,0,1,0.083867,0,0,0,0
1957_Tintin_,1957_Tintin_,,22,1,0,1,0.001721,0,0,0,0
AlwaysMryam,AlwaysMryam,,28,1,0,1,0.003894,0,0,0,0
TIMEWorld,TIMEWorld,,6,1,0,1,0.033913,0,0,0,0
altafhussain195,altafhussain195,,3,1,0,1,0.002808,0,0,0,0
Dieinurage30_7,Dieinurage30_7,,9,1,0,1,0.002808,0,0,0,0
abuabbas5,abuabbas5,,25,1,0,1,0.044557,0,0,0,0
arabthomness,arabthomness,,7,9,0,9,0.643847,0,0,0,0
khanasori147,khanasori147,,26,1,0,1,0.083867,0,0,0,0
washingtonpost,washingtonpost,,7,3,0,3,0.131022,0,0,0,0
Hayder_alKhoei,Hayder_alKhoei,,19,1,0,1,0.018083,0,0,0,0
bintislamiya19,bintislamiya19,,19,3,0,3,0.091666,0,0,0,0
reynaldovege,reynaldovege,,6,1,0,1,0.033913,0,0,0,0
BenMoha58289495,BenMoha58289495,,21,1,0,1,0.070325,0,0,0,0
arbaramzi18,arbaramzi18,,6,1,0,1,0.033913,0,0,0,0
Skx90x,Skx90x,,28,1,0,1,0.003199,0,0,0,0
ScotsmanInfidel,ScotsmanInfidel,,9,1,0,1,0.002808,0,0,0,0
reglash,reglash,,8,1,0,1,0.001721,0,0,0,0
CrimesofUS,CrimesofUS,,6,1,0,1,0.033913,0,0,0,0
glcarlstrom,glcarlstrom,,13,1,0,1,0.011192,0,0,0,0
WashInstitute,WashInstitute,,13,1,0,1,0.037914,0,0,0,0
vivarevolt,vivarevolt,,27,1,0,1,0.004834,0,0,0,0
MaghrebiMWs,MaghrebiMWs,,10,1,0,1,0.001721,0,0,0,0
IbnAbdallah21,IbnAbdallah21,,26,1,0,1,0.083867,0,0,0,0
AntiMajose,AntiMajose,,6,1,0,1,0.033913,0,0,0,0
BasMirnes,BasMirnes,,15,1,0,1,0.002808,0,0,0,0
IraqiSuryani1,IraqiSuryani1,,3,1,0,1,0.001721,0,0,0,0
Sturluson__,Sturluson__,,26,1,0,1,0.083867,0,0,0,0
astro_timpeake,astro_timpeake,,13,1,0,1,0.046761,0,0,0,0
abou3abdILLAH59,abou3abdILLAH59,,26,1,0,1,0.083867,0,0,0,0
IdrissSihamedi,IdrissSihamedi,,20,2,0,2,0.08992,0,0,0,0
mirxank,mirxank,,21,1,0,1,0.070325,0,0,0,0
abu14315,abu14315,,21,1,0,1,0.070325,0,0,0,0
NastiaChurkina,NastiaChurkina,,26,1,0,1,0.083867,0,0,0,0
magorient,magorient,,26,1,0,1,0.083867,0,0,0,0
from_2z,from_2z,,19,1,0,1,0.018083,0,0,0,0
ghkuuhh,ghkuuhh,,13,1,0,1,0.041773,0,0,0,0
JeromeBourbon,JeromeBourbon,,26,1,0,1,0.083867,0,0,0,0
morochuif,morochuif,,26,1,0,1,0.083867,0,0,0,0
infinitdimensi1,infinitdimensi1,,21,1,0,1,0.070325,0,0,0,0
Jewtastic,Jewtastic,,22,1,0,1,0.001721,0,0,0,0
MaanNewsAgency,MaanNewsAgency,,13,1,0,1,0.046761,0,0,0,0
Interbrigades,Interbrigades,,25,3,0,3,0.106002,0,0,0,0
Saeed_AlHalabi7,Saeed_AlHalabi7,,10,1,0,1,0.001721,0,0,0,0
fardoush5,fardoush5,,13,1,0,1,0.010272,0,0,0,0
khilafatvoice,khilafatvoice,,27,1,0,1,0.007543,0,0,0,0
TrueTorah,TrueTorah,,13,1,0,1,0.001721,0,0,0,0
abdulaziztarefe,abdulaziztarefe,,7,1,0,1,0.090381,0,0,0,0
EPlC16,EPlC16,,6,1,0,1,0.033913,0,0,0,0
blackeisen,blackeisen,,26,1,0,1,0.083867,0,0,0,0
oobaida_ooo,oobaida_ooo,,13,1,0,1,0.046761,0,0,0,0
intifada,intifada,,26,1,0,1,0.083867,0,0,0,0
taylor_davis11,taylor_davis11,,15,1,0,1,0.001721,0,0,0,0
ikhanasori,ikhanasori,,26,1,0,1,0.083867,0,0,0,0
Jubasniper12,Jubasniper12,,17,2,0,2,0.072046,0,0,0,0
ISMedia_3,ISMedia_3,,3,1,0,1,0.001721,0,0,0,0
OmarAliraqi166,OmarAliraqi166,,25,1,0,1,0.002808,0,0,0,0
KaleemUllahBaj1,KaleemUllahBaj1,,24,1,0,1,0.003412,0,0,0,0
Mundafenn4,Mundafenn4,,26,1,0,1,0.083867,0,0,0,0
Adhleem,Adhleem,,6,1,0,1,0.033913,0,0,0,0
scholarsofhaq14,scholarsofhaq14,,20,1,0,1,0.006053,0,0,0,0
